Mission: Impossible - Dead Reckoning Part Two,2025,No Certificate,0,"Action, Adventure, Thriller",0.0,The 8th entry in the long running Mission Impossible franchise.,Christopher McQuarrie,0
Freelance,2023,R,109,"Action, Comedy",5.5,"An ex-special forces operative takes a job to provide security for a journalist as she interviews a dictator, but, a military coup breaks out in the middle of the interview, they are forced to escape into the jungle where they must survive",Pierre Morel,527
Herd,2023,No Certificate,0,"Action, Horror",3.8,"When a woman trying to outrun her past ends up trapped between a zombie outbreak and warring militia groups, she must fight to find her way back home.",Steven Pierce,385
Prey,2022,R,100,"Action, Adventure, Drama",7.1,"Naru, a skilled warrior of the Comanche Nation, fights to protect her tribe against one of the first highly-evolved Predators to land on Earth.",Dan Trachtenberg,"216,354"
Infinite,2021,PG-13,106,"Action, Sci-Fi, Thriller",5.5,A man discovers that his hallucinations are actually visions from past lives.,Antoine Fuqua,"58,230"
Man on Fire,2004,R,146,"Action, Crime, Drama",7.7,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",Tony Scott,"380,606"
War of the Worlds,2005,PG-13,116,"Action, Adventure, Sci-Fi",6.5,An alien invasion threatens the future of humanity. The catastrophic nightmare is depicted through the eyes of one American family fighting for survival.,Steven Spielberg,"466,761"
Independence Day,1996,PG-13,145,"Action, Adventure, Sci-Fi",7.0,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.",Roland Emmerich,"595,825"
In Time,2011,PG-13,109,"Action, Sci-Fi, Thriller",6.7,"In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system.",Andrew Niccol,"434,945"
Les trois mousquetaires: D'Artagnan,2023,No Certificate,121,"Action, Adventure, History",6.7,"D'Artagnan arrives in Paris trying to find his attackers after being left for dead, which leads him to a real war where the future of France is at stake. He aligns himself with Athos, Porthos and Aramis, three musketeers of the King.",Martin Bourboulon,"13,276"
Hypnotic,2023,R,0,"Action, Mystery, Thriller",5.5,A detective investigates a mystery involving his missing daughter and a secret government program.,Robert Rodriguez,"23,720"
300,2006,R,117,"Action, Drama",7.6,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,Zack Snyder,"848,561"
Gojira -1.0,2023,PG-13,0,"Action, Adventure, Drama",0.0,"Godzilla appears in post-World-War-II Japan, which is at its low point at zero, and knocks the country down one to the negatives.",Takashi Yamazaki,0
Avengers: Infinity War,2018,PG-13,149,"Action, Adventure, Sci-Fi",8.4,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Anthony Russo,"1,162,092"
Black Hawk Down,2001,R,144,"Action, Drama, History",7.7,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis.",Ridley Scott,"414,743"
The Northman,2022,R,137,"Action, Adventure, Drama",7.0,A young Viking prince is on a quest to avenge his father's murder.,Robert Eggers,"238,146"
Thor: Love and Thunder,2022,PG-13,118,"Action, Adventure, Comedy",6.2,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",Taika Waititi,"381,264"
The Nice Guys,2016,R,116,"Action, Comedy, Crime",7.4,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",Shane Black,"357,228"
Terminator 2: Judgment Day,1991,R,137,"Action, Sci-Fi",8.6,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",James Cameron,"1,146,538"
Ford v Ferrari,2019,PG-13,152,"Action, Biography, Drama",8.1,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,James Mangold,"441,161"
